,Unnamed: 0,Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation,Latitude,Longitude,Community Board,Community Council ,Census Tract,BIN,BBL,NTA,LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
15,25,7097098715,G78DLL,NJ,PAS,03/11/2015,38,SUBN,BMW,T,49130,67030,64830,01/01/88888888 12:00:00 PM,79.0,79,79,358894,T301,G,1210P,,K,F,121,HERKIMER ST,,01/05/0001 12:00:00 PM,408,h1,,Y,0830A,0700P,GREY,,0,,0,09 3,38-Failure to Display Muni Rec,,,,,,,,,,,,-73.9491873,40.679747799999994,121,HERKIMER ST,,,,,11216.0,3067394.0,dfc60c9303f877d6
16,26,7787591079,GKP6078,NY,PAS,11/19/2014,20,SUBN,CHRYS,T,15010,15510,26440,01/01/20151126 12:00:00 PM,7.0,7,7,353194,T105,M,0713A,,NY,O,340,CHERRY ST,,01/05/0001 12:00:00 PM,408,d,,YYYYY,0700A,0400P,GL,,2005,,0,J 99,20A-No Parking (Non-COM),,,,,,,,,,,,-73.985522,40.7120151,340,CHERRY ST,,,,,10002.0,1003635.0,eb6c404c3aa841d9
17,29,7359154236,M80ANH,NJ,PAS,11/14/2014,37,4DSD,ACURA,T,72720,26760,26790,01/01/88888888 12:00:00 PM,48.0,48,48,356985,T201,F,0344P,0327P,BX,F,1405,WALTON AVE,,01/05/0001 12:00:00 PM,408,h1,,Y,0800A,0700P,RED,,0,204-3008,0,48 2,37-Expired Muni Meter,,,,,,,,,,,,-73.9159118,40.839811100000006,1405,WALTON AVE,,,,,10452.0,2014811.0,5183dfa42f440e87
18,32,8035700765,GKB7155,NY,PAS,06/09/2015,21,SUBN,CHRYS,T,89030,60730,57030,01/01/20160224 12:00:00 PM,90.0,90,90,355674,T301,G,1115A,,K,F,188,WALLABOUT ST,,01/05/0001 12:00:00 PM,408,d1,,Y  Y,1100A,1230A,BR,,2015,,0,14 3,21-No Parking (street clean),,,,,,,,,,,,-73.9555323,40.6997908,188,WALLABOUT ST,,,,,11206.0,3078381.0,dbe7b4334c09a318
19,33,7766334392,CJP1169,NY,PAS,09/05/2014,37,SUBN,NISSA,T,64790,18640,18790,01/01/20150325 12:00:00 PM,103.0,103,103,361042,T402,B,0455P,0448P,Q,F,94-14,SUTPHIN BLVD,,01/05/0001 12:00:00 PM,408,h1,,Y,0900A,0700P,BLACK,,1998,403-3030,0,03 4,37-Expired Muni Meter,,,,,,,,,,,,-73.8068016,40.698595000000005,94-14,SUTPHIN BLVD,,,,,11435.0,237904.0,2f71742ebd153c83
20,35,8021902164,96313JE,NY,COM,04/07/2015,46,REFG,ISUZU,T,53830,29830,42730,01/01/20151231 12:00:00 PM,84.0,84,84,357114,T301,E,1253P,1200P,K,F,210,JORALEMON ST,,01/01/20150407 12:00:00 PM,408,F1,,,,,WH,,2013,,0,01 3,46B-Double Parking (Com-100Ft),,,,,,,,,,,,-73.99041290000001,40.6923469,210,JORALEMON ST,,,,,11201.0,3003675.0,5cf3e7d00ca6f07f
21,37,7006621586,FFE3632,NY,PAS,08/12/2014,38,SUBN,TOYOT,T,47990,10240,10390,01/01/88888888 12:00:00 PM,108.0,108,108,355608,T401,J,0402P,,Q,F,45-17,GREENPOINT AVE,,01/05/0001 12:00:00 PM,408,h1,,Y,0830A,0700P,BROWN,,2013,,0,36 4,38-Failure to Display Muni Rec,,,,,,,,,,,,-73.91913029999999,40.742230299999996,45-17,GREENPOINT AVE,,,,,11104.0,10174370.0,584593ae1a5333e5
22,41,7540622817,G98BVF,NJ,PAS,09/09/2014,37,SUBN,DODGE,T,44930,29230,87630,01/01/88888888 12:00:00 PM,90.0,90,90,358930,T301,H,0433P,0406P,K,F,45,GRAHAM AVE,,01/05/0001 12:00:00 PM,408,h1,,Y,0800A,0700P,SILVE,,0,328-3058,0,15 3,37-Expired Muni Meter,,,,,,,,,,,,-73.94263509999999,40.7029239,45,GRAHAM AVE,,,,,11206.0,3094225.0,add0289df32752ab
23,45,7553907455,W73DRS,NJ,PAS,01/12/2015,21,4DSD,NISSA,T,45130,19530,18630,01/01/88888888 12:00:00 PM,90.0,90,90,345228,T301,A,0850A,,K,F,147,GRAND ST,,01/05/0001 12:00:00 PM,408,d1,,Y  Y,0800A,0930A,TAN,,0,,0,14 3,21-No Parking (street clean),,,,,,,,,,,,-73.9619607,40.714889299999996,147,GRAND ST,,,,,11249.0,3080397.0,e4812cb4b3484ec9
24,45,7553907455,W73DRS,NJ,PAS,01/12/2015,21,4DSD,NISSA,T,45130,19530,18630,01/01/88888888 12:00:00 PM,90.0,90,90,345228,T301,A,0850A,,K,F,147,GRAND ST,,01/05/0001 12:00:00 PM,408,d1,,Y  Y,0800A,0930A,TAN,,0,,0,14 3,21-No Parking (street clean),,,,,,,,,,,,-73.9994141,40.720092799999996,147,GRAND ST,,,,,10013.0,1003375.0,2aacae775ce1cc6f
25,46,7553907455,W73DRS,NJ,PAS,01/12/2015,21,4DSD,NISSA,T,45130,19530,18630,01/01/88888888 12:00:00 PM,90.0,90,90,345228,T301,A,0850A,,K,F,147,GRAND ST,,01/05/0001 12:00:00 PM,408,d1,,Y  Y,0800A,0930A,TAN,,0,,0,14 3,21-No Parking (street clean),,,,,,,,,,,,-73.9619607,40.714889299999996,147,GRAND ST,,,,,11249.0,3080397.0,e4812cb4b3484ec9
26,46,7553907455,W73DRS,NJ,PAS,01/12/2015,21,4DSD,NISSA,T,45130,19530,18630,01/01/88888888 12:00:00 PM,90.0,90,90,345228,T301,A,0850A,,K,F,147,GRAND ST,,01/05/0001 12:00:00 PM,408,d1,,Y  Y,0800A,0930A,TAN,,0,,0,14 3,21-No Parking (street clean),,,,,,,,,,,,-73.9994141,40.720092799999996,147,GRAND ST,,,,,10013.0,1003375.0,2aacae775ce1cc6f
27,53,7576361815,EDT9406,NY,PAS,01/21/2015,71,4DSD,PORSC,T,77150,50020,78485,01/01/20151023 12:00:00 PM,43.0,43,43,361790,T202,E,1202P,,BX,F,1354,WHITE PLAINS RD,,01/05/0001 12:00:00 PM,408,j6,,YYYYYYY,,,BLACK,,2014,,0,04A,71A-Insp Sticker Expired (NYS),,,,,,,,,,,,-73.8628011,40.8346164,1354,WHITE PLAINS RD,,,,,10462.0,2099872.0,6be8b86a3fbb2179
28,54,7576361815,EDT9406,NY,PAS,01/21/2015,71,4DSD,PORSC,T,77150,50020,78485,01/01/20151023 12:00:00 PM,43.0,43,43,361790,T202,E,1202P,,BX,F,1354,WHITE PLAINS RD,,01/05/0001 12:00:00 PM,408,j6,,YYYYYYY,,,BLACK,,2014,,0,04A,71A-Insp Sticker Expired (NYS),,,,,,,,,,,,-73.8628011,40.8346164,1354,WHITE PLAINS RD,,,,,10462.0,2099872.0,6be8b86a3fbb2179
29,58,8017257454,GRD8338,NY,PAS,12/05/2014,21,SUBN,HONDA,T,57520,19540,19740,01/01/20160521 12:00:00 PM,110.0,110,110,341274,T401,L,0841A,,Q,F,102-32,NICOLLS AVE,,01/05/0001 12:00:00 PM,408,d1,,Y,0830A,1000A,GY,,2006,,0,O 41,21-No Parking (street clean),,,,,,,,,,,,-73.86046999999999,40.7447959,102-32,NICOLLS AVE,,,,,11368.0,54801.0,70883ae75ac575b0
30,59,7799971009,FPJ1465,NY,PAS,08/28/2014,38,SUBN,LEXUS,T,8320,55520,77150,01/01/20150811 12:00:00 PM,49.0,49,49,359283,T202,F,0552P,,BX,F,677,ALLERTON AVE,,01/05/0001 12:00:00 PM,408,h1,,Y,0830A,0700P,LTG,,2004,,0,11P,38-Failure to Display Muni Rec,,,,,,,,,,,,-73.8681598,40.8655636,677,ALLERTON AVE,,,,,10467.0,2059278.0,1f73ffd8366ee616
31,61,8018677712,T653918C,NY,OMT,05/21/2015,21,4DSD,TOYOT,T,72320,26670,40520,01/01/20150731 12:00:00 PM,42.0,42,42,357371,T201,X,0811A,,BX,F,1173,VYSE AVE,,01/05/0001 12:00:00 PM,408,d1,,Y  Y,0800A,0930A,WH,,2014,,0,Q 21,21-No Parking (street clean),,,,,,,,,,,,-73.8900624,40.8283768,1173,VYSE AVE,,,,,10459.0,2011986.0,3aea2a8c9c220063
32,62,7578730459,GKZ9055,NY,PAS,11/21/2014,21,4DSD,ACURA,T,53920,55720,18520,01/01/20160101 12:00:00 PM,43.0,43,43,357732,T202,A,0942A,,BX,O,2146,NEWBOLD AVE,,01/05/0001 12:00:00 PM,408,d1,,Y  Y,0930A,1100A,WH,,2002,,0,12A,21-No Parking (street clean),,,,,,,,,,,,-73.852645,40.8330708,2146,NEWBOLD AVE,,,,,10462.0,2041818.0,d6a6ec4579340e34
33,66,8018711094,EWT8528,NY,PAS,05/28/2015,37,SUBN,HONDA,T,29320,10020,73520,01/01/20160222 12:00:00 PM,52.0,52,52,361340,T201,L,0120P,1257P,BX,O,171,E GUN HILL RD,,01/05/0001 12:00:00 PM,408,h1,,Y,0830A,0700P,GY,,2013,207-3007,0,41 2,37-Expired Muni Meter,,,,,,,,,,,,-73.87787359999999,40.8809617,171,E GUN HILL RD,,,,,10467.0,2030648.0,ead7036a52a03f16
34,67,1367471345,GSE2596,NY,PAS,08/09/2014,71,SDN,TOYOT,P,27820,31390,31510,01/01/20160729 12:00:00 PM,101.0,101,101,946050,0101,0000,1005A,,Q,F,54-09,ALMEDA AVE,,01/05/0001 12:00:00 PM,408,F2,,BBBBBBB,ALL,ALL,WH,0.0,2014,-,0,,,,,,,,,,,,,,-73.7850934,40.597204,54-09,ALMEDA AVE,,,,,11692.0,337488.0,6c216bc26bbbe17f
35,74,7969133666,FYK4168,NY,PAS,11/24/2014,38,4DSD,TOYOT,T,76950,72820,49020,01/01/20160320 12:00:00 PM,43.0,43,43,359283,T202,F,0357P,,BX,O,1563,WESTCHESTER AVE,,01/05/0001 12:00:00 PM,408,h1,,Y,0830A,0700P,WH,,2002,,0,03P,38-Failure to Display Muni Rec,,,,,,,,,,,,-73.87714759999999,40.82892329999999,1563,WESTCHESTER AVE,,,,,10472.0,2040338.0,30f1832d5b4c2828
36,79,7253931865,HS8919,NJ,PAS,03/11/2015,38,4DSD,FORD,T,42490,8640,8740,01/01/88888888 12:00:00 PM,114.0,114,114,357323,T401,F,1255P,,Q,F,35-04,DITMARS BLVD,,01/05/0001 12:00:00 PM,408,h1,,Y,0800A,0700P,SILVE,,0,,0,34 4,38-Failure to Display Muni Rec,,,,,,,,,,,,-73.9088412,40.77465120000001,35-04,DITMARS BLVD,,,,,11105.0,20072.0,320d733946a68d43
37,80,7982623451,DTJ1619,NY,PAS,08/28/2014,38,SUBN,TOYOT,T,16110,33910,13310,01/01/20150821 12:00:00 PM,6.0,6,6,361083,T105,C,0840P,,NY,O,37,CORNELIA ST,,01/05/0001 12:00:00 PM,408,h1,,Y,0800A,1000P,WHITE,,2002,,0,004,38-Failure to Display Muni Rec,,,,,,,,,,,,-74.00280090000001,40.7312595,37,CORNELIA ST,,,,,10014.0,1012732.0,a012dd0406a3c051
38,82,7487409983,EBF1693,NY,PAS,12/10/2014,38,SUBN,ACURA,T,29020,52120,21820,01/01/20160228 12:00:00 PM,52.0,52,52,361387,T201,D,1119A,,BX,F,58,E KINGSBRIDGE RD,,01/05/0001 12:00:00 PM,408,h1,,Y,0800A,0700P,SILVE,,2002,,0,01 2,38-Failure to Display Muni Rec,,,,,,,,,,,,-73.8959825,40.866690000000006,58,E KINGSBRIDGE RD,,,,,10468.0,2024952.0,ff0cd204f58d1a47
39,84,7831182380,91414MD,NY,COM,08/13/2014,69,VAN,INTER,T,25390,17610,17630,01/01/20150131 12:00:00 PM,14.0,14,14,345058,T102,C,0852A,,NY,F,136,MADISON AVE,,01/05/0001 12:00:00 PM,408,h1,,Y,0800A,0700P,WH,,2014,,0,22 6,69-Failure to Disp Muni Recpt,,,,,,,,,,,,-73.9843135,40.746173,136,MADISON AVE,,,,,10016.0,1020083.0,9b1c308ce504f529
40,85,1366539345,FYB2774,NY,PAS,07/01/2014,31,SDN,HONDA,P,34430,10410,13610,01/01/20140521 12:00:00 PM,14.0,14,14,950681,0014,0000,0512P,,NY,F,10,W 33 ST,,01/05/0001 12:00:00 PM,408,I3,,YYYYYBB,0700A,0700P,BLACK,0.0,2010,-,0,,,,,,,,,,,,,,-73.9859633,40.7480554,10,W 33 ST,,,,,10001.0,1064342.0,fe9db453306775b8
41,87,7753938370,FMT2474,NY,PAS,08/29/2014,19,4DSD,TOYOT,T,51790,8190,57790,01/01/20151026 12:00:00 PM,115.0,115,115,356966,T401,P,1013A,,Q,O,32-09,JUNCTION BLVD,,01/05/0001 12:00:00 PM,408,c3,,YYYYYYY,,,GR,,1994,,0,14-A,19-No Stand (bus stop),,,,,,,,,,,,-73.87429279999999,40.758287700000004,32-09,JUNCTION BLVD,,,,,11369.0,5162263.0,f93d1ce5bacd65ce
42,89,8007539610,18580MG,NY,COM,02/12/2015,38,DELV,UD,T,13610,35470,35490,01/01/20151031 12:00:00 PM,20.0,20,20,354043,T103,G,1156A,,NY,F,2350,BROADWAY,,01/05/0001 12:00:00 PM,408,h1,,Y,0800A,1000P,WH,,2006,,0,44 7,38-Failure to Display Muni Rec,,,,,,,,,,,,-73.9764816,40.787934299999996,2350,BROADWAY,,,,,10024.0,1059379.0,6fb75e02de46c701
43,91,8007812362,61508MC,NY,COM,11/28/2014,37,VAN,FORD,T,13610,34790,34810,01/01/20150131 12:00:00 PM,18.0,18,18,361040,T102,K,0228P,1200P,NY,O,1657,BROADWAY,,01/05/0001 12:00:00 PM,408,h1,,Y,0700A,0600P,WH,,2002,143-3420,0,MC 9,37-Expired Muni Meter,,,,,,,,,,,,-73.9835281,40.762562599999995,1657,BROADWAY,,,,,10019.0,1061619.0,d7d99807cb888dc6
44,91,8007812362,61508MC,NY,COM,11/28/2014,37,VAN,FORD,T,13610,34790,34810,01/01/20150131 12:00:00 PM,18.0,18,18,361040,T102,K,0228P,1200P,NY,O,1657,BROADWAY,,01/05/0001 12:00:00 PM,408,h1,,Y,0700A,0600P,WH,,2002,143-3420,0,MC 9,37-Expired Muni Meter,,,,,,,,,,,,-73.91337779999999,40.684737,1657,BROADWAY,,,,,11207.0,10166939.0,dc28a58f34829bc2
45,92,1378109041,ETP8135,NY,PAS,11/10/2014,19,SDN,NISSA,P,35490,15710,11710,01/01/20150817 12:00:00 PM,24.0,24,137,940892,0137,0000,0436P,,NY,F,165,W 86 ST,,01/05/0001 12:00:00 PM,408,F1,,BBBBBBB,ALL,ALL,WH,0.0,2014,-,0,,,,,,,,,,,,,,-73.9747297,40.7877397,165,W 86 ST,,,,,10024.0,1028806.0,704557bbc76c631c
46,94,7719036463,24705MB,NY,COM,01/28/2015,37,REFG,MITSU,T,24890,18670,18690,01/01/20160131 12:00:00 PM,19.0,19,19,359325,T103,O,1133A,1125A,NY,F,1258,LEXINGTON AVE,,01/01/20150128 12:00:00 PM,408,h1,,YYYYY,1000A,0700P,WHITE,,2012,127-4746,0,03 7,37-Expired Muni Meter,,,,,,,,,,,,-73.9563271,40.7787229,1258,LEXINGTON AVE,,,,,10028.0,1037581.0,5bf5b4739d56aac1
47,98,1368841090,T621450C,NY,SRF,11/20/2014,40,SUBN,CHEVR,P,8440,20190,20340,01/01/20150331 12:00:00 PM,115.0,115,170,938769,0170,0000,0805P,,Q,F,108-03,34 AVE,,01/05/0001 12:00:00 PM,408,E1,,BBBBBBB,ALL,ALL,BK,0.0,2008,-,0,,,,,,,,,,,,,,-73.860476,40.7564583,108-03,34 AVE,,,,,11368.0,48002.0,626a48c89a417d4f
